dataset,type,size,time,output
,Quick Sort,50,0,
,Insertion Sort,50,0,
,Randomized Quick Sort,50,0,
,Quick Sort,100,0,
,Insertion Sort,100,0.002,
,Randomized Quick Sort,100,0.002,
,Quick Sort,150,0,
,Insertion Sort,150,0.004,
,Randomized Quick Sort,150,0.003,
,Quick Sort,200,0,
,Insertion Sort,200,0.004,
,Randomized Quick Sort,200,0.004,
,Quick Sort,250,0.001,
,Insertion Sort,250,0.008,
,Randomized Quick Sort,250,0.009,
,Quick Sort,300,0.001,
,Insertion Sort,300,0.014,
,Randomized Quick Sort,300,0.01,
,Quick Sort,350,0.001,
,Insertion Sort,350,0.01,
,Randomized Quick Sort,350,0.015,
,Quick Sort,400,0.001,
,Insertion Sort,400,0.016,
,Randomized Quick Sort,400,0.015,
,Quick Sort,450,0,
,Insertion Sort,450,0.019,
,Randomized Quick Sort,450,0.025,
,Quick Sort,500,0.002,
,Insertion Sort,500,0.024,
,Randomized Quick Sort,500,0.024,
